,Title1,Title2,Support,Confident,Lift
338,2017,Stand-Up Comedy,0.00579,0.89473,3.82194
339,United States,Documentaries,0.00465,0.75925,3.24954
340,Stand-Up Comedy,TV-MA,0.00590,0.89655,3.82969
341,TV Show,nan,0.02054,0.47631,3.02916
342,India,2019,0.00544,0.55172,3.40545
343,2019,Stand-Up Comedy,0.00465,0.85416,3.64864
344,TV Show,2019,0.02270,0.50377,3.20381
345,TV Show,2020,0.02531,0.51146,3.25271
346,TV Show,2020,0.01748,0.35321,3.20070
347,TV Show,2021,0.01702,0.47619,3.02836
348,TV Show,3 Seasons,0.01044,0.46231,3.82710
349,TV Show,3 Seasons,0.00885,0.39195,4.70993
350,TV Show,United States,0.00590,0.54736,6.57738
351,R,United States,0.00499,0.34375,6.88125
352,"Anime Series, International TV Shows",TV Show,0.00794,0.79545,44.0651
353,TV-Y,Children & Family Movies,0.00488,0.2,29.3600
354,"Children & Family Movies, Comedies",United States,0.00601,0.26368,14.1616
355,"Comedies, Dramas, International Movies",TV-14,0.00919,0.29562,4.95023
356,TV Show,"Crime TV Shows, Docuseries",0.00465,0.82000,9.85342
357,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,0.00635,0.90322,7.47707
358,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,0.00783,0.62727,5.19268
359,United States,TV-14,0.00692,0.28638,7.02640
360,nan,TV-14,0.00737,0.66326,6.17551
361,United States,TV-MA,0.00930,0.22841,3.28198
362,nan,TV-MA,0.00794,0.60869,5.66743
363,United States,Documentaries,0.00567,0.20080,3.27532
364,United States,nan,0.01566,0.38440,14.1665
365,United States,nan,0.00533,0.40869,3.70348
366,"Documentaries, International Movies",TV-MA,0.00544,0.25806,7.08109
367,TV Show,nan,0.00647,0.67058,8.05803
368,India,TV-14,0.00465,0.66129,6.52255
369,India,TV-MA,0.00590,0.20634,8.45359
370,Movie,India,0.00828,0.20165,3.37680
371,South Korea,"International TV Shows, Korean TV Shows, Romantic TV Shows",0.00658,0.89230,53.1043
372,TV Show,nan,0.00533,0.5,6.32758
373,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",0.00601,0.58888,7.45249
374,TV Show,nan,0.00658,0.47933,6.06611
375,TV Show,nan,0.00488,0.87755,3.05633
376,Japan,TV Show,0.00749,0.26938,3.40914
377,Japan,TV Show,0.00692,1.0,3.29147
378,TV Show,United States,0.00465,0.35042,4.06126
379,TV Show,nan,0.01294,0.51818,26.6909
380,TV Show,nan,0.00965,0.38636,18.0057
381,TV Show,nan,0.00874,0.35000,4.20572
382,United States,nan,0.00465,0.35042,3.17547
383,"Kids' TV, TV Comedies",TV Show,0.00454,0.40404,18.8295
384,"Kids' TV, TV Comedies",TV Show,0.00465,0.41414,4.97647
385,United States,Stand-Up Comedy,0.01918,0.50598,7.27037
386,Stand-Up Comedy,nan,0.00476,0.87500,3.73763
387,TV Show,Reality TV,0.00794,0.73684,8.85416
388,South Korea,TV Show,0.00862,0.38190,4.83313
389,South Korea,TV Show,0.00544,0.96,3.15982
390,TV Show,TV Comedies,0.00681,0.86956,10.4490
391,TV Show,United Kingdom,0.00488,0.20187,4.11606
392,TV Show,1 Season,0.00499,0.37931,4.80023
393,TV Show,1 Season,0.00647,0.34131,4.31943
394,TV Show,1 Season,0.00476,0.93333,3.25061
395,TV Show,2017,0.00522,0.26136,3.30760
396,TV Show,2017,0.00806,0.40340,3.33949
397,TV Show,1 Season,0.00737,0.25390,3.21322
398,TV Show,1 Season,0.01419,0.48828,4.04208
399,TV Show,1 Season,0.00647,0.98275,3.42275
